id_tps	name	sex	set	nat	age	weight	height	attractiveness	fem_masc	L	a	b 	R1	L1	R2	L2	R3	L3	laterality
167F]	167F	F	CMR16	CMR	21	47.4	159.5	3.530612245	4.936170213	38.395	13.40866667	12.05766667	194.4292	131.7899	163.7713	130.6668	221.0492	141.1891	R
168F]	168F	F	CMR16	CMR	21	50.2	158	2.816326531	4.106382979	35.81866667	11.20566667	9.574333333	231.9994	200.6864	227.9749	230.435	229.3253	210.2996	R
169F]	169F	F	CMR16	CMR	21	72.8	156	2.795918367	4.287234043	40.60066667	14.11966667	13.168	172.7294	204.7108	176.9677	185.0299	156.6183	186.3669	R
170F]	170F	F	CMR16	CMR	27	76.2	161.5	2.408163265	4.393617021	42.277	13.58433333	14.77766667	65.7947	59.3101	48.5739	49.6836	42.3032	58.6416	R
171F]	171F	F	CMR16	CMR	21	53.3	156	3.244897959	4.595744681	43.29466667	15.13033333	15.76666667	99.3538	128.4339	127.5381	86.5987	120.599	121.4948	R
172F]	172F	F	CMR16	CMR	30	97	159	3.755102041	5.20212766	30.45433333	8.478	8.206666667	116.3473	124.6234	170.4832	139.3975	155.7225	121.7221	D
173F]	173F	F	CMR16	CMR	30	76.7	161	2.87755102	4.553191489	43.80066667	14.45833333	14.793	204.7108	194.2019	216.7975	217.466	214.5513	187.2627	R
174F]	174F	F	CMR16	CMR	44	69.4	154	1.87755102	3.585106383	38.84766667	11.31433333	9.092333333	184.5753	229.3253	185.9257	171.379	183.9068	174.9622	R
175F]	175F	F	CMR16	CMR	22	93.7	173	3.979591837	5.404255319	39.28433333	12.57966667	11.88133333	279.2095	218.3618	300.682	244.9818	290.3869	226.8652	R
176F]	176F	F	CMR16	CMR	23	78.6	160.5	3.142857143	3.212765957	41.64133333	14.042	13.97833333	284.7982	229.9938	255.7181	245.8776	280.1053	194.6431	R
178F]	178F	F	CMR16	CMR	32	67.1	170	2.979591837	3.617021277	30.43066667	7.985333333	5.502666667	199.3494	228.8707	254.8223	258.4055	220.1534	217.6933	D
185F]	185F	F	CMR16	CMR	20	52.8	157	3.448979592	4.691489362	42.84566667	12.96466667	15.24066667	160.4154	186.1396	195.7662	187.7173	202.0234	190.6187	R
194F]	194F	F	CMR16	CMR	39	59.4	158	1.87755102	2.414893617	45.198	14.531	17.28633333	265.7858	225.7421	232.6812	259.7425	273.1661	244.9818	R
195F]	195F	F	CMR16	CMR	24	71.1	157	2.857142857	4.361702128	35.563	9.852666667	8.084	263.7669	269.3556	247.8831	259.074	227.7476	287.9268	R
196F]	196F	F	CMR16	CMR	19	49.2	152	3.551020408	5.14893617	45.88333333	16.26666667	17.621	242.0671	237.6015	240.2755	249.0062	260.411	213.4415	R
197F]	197F	F	CMR16	CMR	18	52.3	159	2.306122449	4.053191489	37.59633333	11.70933333	9.375333333	152.1393	232.8952	251.6936	216.7975	203.1465	218.803	R
198F]	198F	F	CMR16	CMR	25	115.4	176	2.224489796	3.234042553	35.116	8.508666667	6.343333333	290.1596	264.2215	302.9148	187.0354	304.7064	261.9753	R
199F]	199F	F	CMR16	CMR	20	81.6	173.5	3	4.340425532	41.19	13.78433333	13.064	213.4415	185.9257	231.5581	191.0732	224.1778	201.5822	R
200F]	200F	F	CMR16	CMR	25	57.5	162	4.530612245	6.021276596	43.97566667	13.13466667	14.76466667	284.7982	227.7476	284.7982	242.9629	238.4973	215.0059	R
201F]	201F	F	CMR16	CMR	22	64	161	5.244897959	6.382978723	44.52833333	15.249	17.49133333	232.8952	203.6011	234.9141	200.4591	226.8652	185.6984	R
107M] 3	107M	M	CMR16	CMR	28	73.2	171.5	2.37254902	6.053191489	32.71366667	9.751333333	6.572	455.7092	520.354	390.1552	486.1264	410.9592	479.8691	R
108M] 6	108M	M	CMR16	CMR	24	66.9	167.5	2.156862745	6.255319149	35.572	12.42033333	9.911666667	373.1617	338.9341	388.3636	364.2171	340.4984	353.0262	R
109M] 4	109M	M	CMR16	CMR	22	77.6	170	3.235294118	5.542553191	32.43566667	9.779333333	6.949333333	362.1982	285.4667	425.9472	292.1785	435.7876	356.8234	R
110M] 1	110M	M	CMR16	CMR	19	74.1	166	5.235294118	5	35.44733333	10.87766667	8.595	375.1672	352.5716	372.7071	385.4623	356.3821	334.455	R
111M] 2	111M	M	CMR16	CMR	20	69.5	178	3.039215686	4.691489362	38.052	14.53733333	12.89266667	416.334	427.5115	405.1432	361.5297	479.6418	360.8612	R
112M] 5	112M	M	CMR16	CMR	27	54.5	166.5	2.882352941	6.095744681	35.07433333	11.64	9.979666667	393.0699	351.2346	397.0943	370.4743	387.2539	360.8612	R
119M] 7	119M	M	CMR16	CMR	23	79.1	176	3.156862745	5.85106383	36.352	10.91566667	8.066333333	446.7512	439.3708	466.4455	472.93	553.9132	501.3416	R
120M] 9	120M	M	CMR16	CMR	27	72	170	3.705882353	5.255319149	33.85833333	9.735666667	6.239333333	243.8587	279.6507	298.2219	328.8663	293.0743	313.2098	R
121M] 10	121M	M	CMR16	CMR	23	65.9	178	4.529411765	5.29787234	37.481	12.45866667	10.613	355.4863	371.1428	341.3942	377.4134	364.2171	335.1236	R
122M] 8	122M	M	CMR16	CMR	19	68.6	174.5	3.196078431	5.074468085	32.66433333	7.947	4.643666667	234.9141	223.282	196.4347	210.5268	211.4227	199.3494	R
123M] 30	123M	M	CMR16	CMR	27	71.2	177.5	3.352941176	5.787234043	35.29566667	8.721333333	4.811666667	286.3625	240.5028	288.1541	258.4055	286.8171	263.7669	R
124M] 11	124M	M	CMR16	CMR	19	53.8	157.5	2.098039216	5.095744681	34.77533333	9.568333333	6.344666667	300.9093	295.3072	323.2776	292.4058	315.8972	285.9213	R
137M] 12	137M	M	CMR16	CMR	23	68.8	170	2.117647059	6.234042553	33.46066667	9.036	5.42	366.6772	374.726	370.4743	323.0503	327.9705	303.1421	R
138M] 15	138M	M	CMR16	CMR	20	70.6	169	3.37254902	5.712765957	33.47833333	8.805333333	5.429	335.5781	378.9777	349.6703	321.7133	464.4266	319.6944	R
139M] 13	139M	M	CMR16	CMR	21	57.2	165	4.098039216	6.031914894	33.40066667	9.927666667	7.069	372.2659	283.2339	396.1985	266.8955	357.7192	235.8099	R
140M] 16	140M	M	CMR16	CMR	22	82.1	179.5	4.137254902	5.191489362	38.60133333	14.87233333	11.40466667	418.3396	456.3777	452.126	481.2061	455.0273	453.6903	D
141M] 17	141M	M	CMR16	CMR	25	67.1	167	2.254901961	5.510638298	37.044	11.52	10.17433333	364.431	451.4575	396.6531	400.6775	375.8491	416.334	L
142M] 14	142M	M	CMR16	CMR	20	50	158	3.215686275	4.595744681	36.38633333	10.82466667	8.189666667	344.9774	263.3257	342.5173	273.3934	325.5104	240.7301	R
149M] 19	149M	M	CMR16	CMR	27	76.1	182.5	2.411764706	3.553191489	35.88066667	10.97366667	8.650666667	272.4976	200.9137	187.0354	319.9217	238.7112	316.5657	R
150M] 20	150M	M	CMR16	CMR	23	79.6	175.5	3.274509804	5.723404255	39.69233333	11.843	9.462333333	393.7384	308.9581	434.2233	399.3272	364.431	431.9905	R
151M] 24	151M	M	CMR16	CMR	23	66.6	179	2.705882353	5.106382979	40.274	14.46233333	12.24366667	325.7377	271.6018	293.0743	342.29	326.8474	286.8171	R
152M] 21	152M	M	CMR16	CMR	21	71.4	170	2.196078431	4.872340426	36.70633333	9.181333333	4.773	265.7858	242.0671	302.9148	238.7112	317.9028	228.4295	R
